Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
1968,August,5,Monday,ABC,1,31,683
1968,August,5,Monday,ABC,2,31,683
1968,August,5,Monday,CBS,1,,683
1968,August,5,Monday,CBS,2,,683
1968,August,5,Monday,NBC,1,31,683
1968,August,5,Monday,NBC,2,31,683
1968,August,6,Tuesday,ABC,1,31,683
1968,August,6,Tuesday,ABC,2,31,683
1968,August,6,Tuesday,CBS,1,99,683
1968,August,6,Tuesday,CBS,2,31,683
1968,August,6,Tuesday,NBC,1,31,683
1968,August,6,Tuesday,NBC,2,31,683
1968,August,7,Wednesday,ABC,1,31,683
1968,August,7,Wednesday,ABC,2,31,683
1968,August,7,Wednesday,CBS,1,,683
1968,August,7,Wednesday,CBS,2,,683
1968,August,7,Wednesday,NBC,1,,683
1968,August,7,Wednesday,NBC,2,,683
1968,August,8,Thursday,ABC,1,2,683
1968,August,8,Thursday,ABC,2,31,683
1968,August,8,Thursday,CBS,1,31,683
1968,August,8,Thursday,CBS,2,31,683
1968,August,8,Thursday,NBC,1,31,683
1968,August,8,Thursday,NBC,2,31,683
1968,August,9,Friday,ABC,1,,683
1968,August,9,Friday,ABC,2,,683
1968,August,9,Friday,CBS,1,31,683
1968,August,9,Friday,CBS,2,31,683
1968,August,9,Friday,NBC,1,31,683
1968,August,9,Friday,NBC,2,31,683
1968,August,12,Monday,ABC,1,,683
1968,August,12,Monday,ABC,2,,683
1968,August,12,Monday,CBS,1,31,683
1968,August,12,Monday,CBS,2,99,683
1968,August,12,Monday,NBC,1,2,683
1968,August,12,Monday,NBC,2,31,683
1968,August,13,Tuesday,ABC,1,19,683
1968,August,13,Tuesday,ABC,2,10,683
1968,August,13,Tuesday,CBS,1,2,683
1968,August,13,Tuesday,CBS,2,19,683
1968,August,13,Tuesday,NBC,1,31,683
1968,August,13,Tuesday,NBC,2,31,683
1968,August,14,Wednesday,ABC,1,3,683
1968,August,14,Wednesday,ABC,2,31,683
1968,August,14,Wednesday,CBS,1,10,683
1968,August,14,Wednesday,CBS,2,16,683
1968,August,14,Wednesday,NBC,1,31,683
1968,August,14,Wednesday,NBC,2,31,683
1968,August,15,Thursday,ABC,1,16,683
1968,August,15,Thursday,ABC,2,31,683
1968,August,15,Thursday,CBS,1,16,683
1968,August,15,Thursday,CBS,2,19,683
1968,August,15,Thursday,NBC,1,16,683
1968,August,15,Thursday,NBC,2,31,683
1968,August,16,Friday,ABC,1,99,683
1968,August,16,Friday,ABC,2,16,683
1968,August,16,Friday,CBS,1,99,683
1968,August,16,Friday,CBS,2,31,683
1968,August,16,Friday,NBC,1,99,683
1968,August,16,Friday,NBC,2,31,683
1968,August,19,Monday,ABC,1,99,683
1968,August,19,Monday,ABC,2,99,683
1968,August,19,Monday,CBS,1,31,683
1968,August,19,Monday,CBS,2,2,683
1968,August,19,Monday,NBC,1,99,683
1968,August,19,Monday,NBC,2,16,683
1968,August,20,Tuesday,ABC,1,99,683
1968,August,20,Tuesday,ABC,2,31,683
1968,August,20,Tuesday,CBS,1,12,683
1968,August,20,Tuesday,CBS,2,31,683
1968,August,20,Tuesday,NBC,1,99,683
1968,August,20,Tuesday,NBC,2,12,683
1968,August,21,Wednesday,ABC,1,19,683
1968,August,21,Wednesday,ABC,2,19,683
1968,August,21,Wednesday,CBS,1,,683
1968,August,21,Wednesday,CBS,2,,683
1968,August,21,Wednesday,NBC,1,19,683
1968,August,21,Wednesday,NBC,2,19,683
1968,August,22,Thursday,ABC,1,19,683
1968,August,22,Thursday,ABC,2,19,683
1968,August,22,Thursday,CBS,1,19,683
1968,August,22,Thursday,CBS,2,19,683
1968,August,22,Thursday,NBC,1,19,683
1968,August,22,Thursday,NBC,2,19,683
1968,August,23,Friday,ABC,1,19,683
1968,August,23,Friday,ABC,2,19,683
1968,August,23,Friday,CBS,1,19,683
1968,August,23,Friday,CBS,2,19,683
1968,August,23,Friday,NBC,1,19,683
1968,August,23,Friday,NBC,2,19,683
1968,August,26,Monday,ABC,1,31,683
1968,August,26,Monday,ABC,2,31,683
1968,August,26,Monday,CBS,1,31,683
1968,August,26,Monday,CBS,2,31,683
1968,August,26,Monday,NBC,1,19,683
1968,August,26,Monday,NBC,2,31,683
1968,August,27,Tuesday,ABC,1,31,683
1968,August,27,Tuesday,ABC,2,31,683
1968,August,27,Tuesday,CBS,1,31,683
1968,August,27,Tuesday,CBS,2,31,683
1968,August,27,Tuesday,NBC,1,31,683
1968,August,27,Tuesday,NBC,2,31,683
1968,August,28,Wednesday,ABC,1,31,683
1968,August,28,Wednesday,ABC,2,31,683
1968,August,28,Wednesday,CBS,1,31,683
1968,August,28,Wednesday,CBS,2,12,683
1968,August,28,Wednesday,NBC,1,31,683
1968,August,28,Wednesday,NBC,2,16,683
1968,August,29,Thursday,ABC,1,31,683
1968,August,29,Thursday,ABC,2,31,683
1968,August,29,Thursday,CBS,1,31,683
1968,August,29,Thursday,CBS,2,31,683
