Year,Month,Day of Month,Day of Week,Channel,Story #,Topic,Quarter
2001,January,1,Monday,ABC,1,,11
2001,January,1,Monday,ABC,2,,11
2001,January,1,Monday,CBS,1,19,11
2001,January,1,Monday,CBS,2,27,11
2001,January,1,Monday,NBC,1,26,11
2001,January,1,Monday,NBC,2,20,11
2001,January,2,Tuesday,ABC,1,20,11
2001,January,2,Tuesday,ABC,2,19,11
2001,January,2,Tuesday,CBS,1,20,11
2001,January,2,Tuesday,CBS,2,19,11
2001,January,2,Tuesday,NBC,1,20,11
2001,January,2,Tuesday,NBC,2,19,11
2001,January,3,Wednesday,ABC,1,1,11
2001,January,3,Wednesday,ABC,2,20,11
2001,January,3,Wednesday,CBS,1,1,11
2001,January,3,Wednesday,CBS,2,1,11
2001,January,3,Wednesday,NBC,1,1,11
2001,January,3,Wednesday,NBC,2,1,11
2001,January,4,Thursday,ABC,1,1,11
2001,January,4,Thursday,ABC,2,8,11
2001,January,4,Thursday,CBS,1,8,11
2001,January,4,Thursday,CBS,2,1,11
2001,January,4,Thursday,NBC,1,1,11
2001,January,4,Thursday,NBC,2,20,11
2001,January,5,Friday,ABC,1,12,11
2001,January,5,Friday,ABC,2,5,11
2001,January,5,Friday,CBS,1,26,11
2001,January,5,Friday,CBS,2,26,11
2001,January,5,Friday,NBC,1,8,11
2001,January,5,Friday,NBC,2,5,11
2001,January,8,Monday,ABC,1,20,11
2001,January,8,Monday,ABC,2,12,11
2001,January,8,Monday,CBS,1,12,11
2001,January,8,Monday,CBS,2,8,11
2001,January,8,Monday,NBC,1,20,11
2001,January,8,Monday,NBC,2,12,11
2001,January,9,Tuesday,ABC,1,20,11
2001,January,9,Tuesday,ABC,2,10,11
2001,January,9,Tuesday,CBS,1,20,11
2001,January,9,Tuesday,CBS,2,8,11
2001,January,9,Tuesday,NBC,1,20,11
2001,January,9,Tuesday,NBC,2,8,11
2001,January,10,Wednesday,ABC,1,12,11
2001,January,10,Wednesday,ABC,2,20,11
2001,January,10,Wednesday,CBS,1,8,11
2001,January,10,Wednesday,CBS,2,8,11
2001,January,10,Wednesday,NBC,1,20,11
2001,January,10,Wednesday,NBC,2,20,11
2001,January,11,Thursday,ABC,1,20,11
2001,January,11,Thursday,ABC,2,16,11
2001,January,11,Thursday,CBS,1,8,11
2001,January,11,Thursday,CBS,2,8,11
2001,January,11,Thursday,NBC,1,8,11
2001,January,11,Thursday,NBC,2,26,11
2001,January,12,Friday,ABC,1,1,11
2001,January,12,Friday,ABC,2,15,11
2001,January,12,Friday,CBS,1,8,11
2001,January,12,Friday,CBS,2,8,11
2001,January,12,Friday,NBC,1,20,11
2001,January,12,Friday,NBC,2,99,11
2001,January,15,Monday,ABC,1,6,11
2001,January,15,Monday,ABC,2,20,11
2001,January,15,Monday,CBS,1,20,11
2001,January,15,Monday,CBS,2,26,11
2001,January,15,Monday,NBC,1,20,11
2001,January,15,Monday,NBC,2,20,11
2001,January,16,Tuesday,ABC,1,20,11
2001,January,16,Tuesday,ABC,2,16,11
2001,January,16,Tuesday,CBS,1,20,11
2001,January,16,Tuesday,CBS,2,8,11
2001,January,16,Tuesday,NBC,1,20,11
2001,January,16,Tuesday,NBC,2,99,11
2001,January,17,Wednesday,ABC,1,8,11
2001,January,17,Wednesday,ABC,2,15,11
2001,January,17,Wednesday,CBS,1,16,11
2001,January,17,Wednesday,CBS,2,8,11
2001,January,17,Wednesday,NBC,1,20,11
2001,January,17,Wednesday,NBC,2,8,11
2001,January,18,Thursday,ABC,1,20,11
2001,January,18,Thursday,ABC,2,20,11
2001,January,18,Thursday,CBS,1,16,11
2001,January,18,Thursday,CBS,2,8,11
2001,January,18,Thursday,NBC,1,8,11
2001,January,18,Thursday,NBC,2,20,11
2001,January,19,Friday,ABC,1,12,11
2001,January,19,Friday,ABC,2,20,11
2001,January,19,Friday,CBS,1,12,11
2001,January,19,Friday,CBS,2,32,11
2001,January,19,Friday,NBC,1,12,11
2001,January,19,Friday,NBC,2,20,11
2001,January,22,Monday,ABC,1,12,11
2001,January,22,Monday,ABC,2,32,11
2001,January,22,Monday,CBS,1,12,11
2001,January,22,Monday,CBS,2,8,11
2001,January,22,Monday,NBC,1,20,11
2001,January,22,Monday,NBC,2,12,11
2001,January,23,Tuesday,ABC,1,6,11
2001,January,23,Tuesday,ABC,2,12,11
2001,January,23,Tuesday,CBS,1,8,11
2001,January,23,Tuesday,CBS,2,12,11
2001,January,23,Tuesday,NBC,1,12,11
2001,January,23,Tuesday,NBC,2,6,11
2001,January,24,Wednesday,ABC,1,12,11
2001,January,24,Wednesday,ABC,2,20,11
2001,January,24,Wednesday,CBS,1,1,11
2001,January,24,Wednesday,CBS,2,8,11
2001,January,24,Wednesday,NBC,1,12,11
2001,January,24,Wednesday,NBC,2,31,11
2001,January,25,Thursday,ABC,1,1,11
2001,January,25,Thursday,ABC,2,1,11
2001,January,25,Thursday,CBS,1,1,11
2001,January,25,Thursday,CBS,2,20,11
2001,January,25,Thursday,NBC,1,1,11
2001,January,25,Thursday,NBC,2,8,11
2001,January,26,Friday,ABC,1,26,11
