id,president,year,majortopic
1,George W. Bush,2001,-555
2,George W. Bush,2001,-555
3,George W. Bush,2001,-555
4,George W. Bush,2001,-555
5,George W. Bush,2001,-555
6,George W. Bush,2001,-555
7,George W. Bush,2001,-555
8,George W. Bush,2001,-555
9,George W. Bush,2001,-555
10,George W. Bush,2001,-555
11,George W. Bush,2001,-555
12,George W. Bush,2001,-555
13,George W. Bush,2001,-555
14,George W. Bush,2001,-555
15,George W. Bush,2001,-555
16,George W. Bush,2001,1
17,George W. Bush,2001,1
18,George W. Bush,2001,-555
19,George W. Bush,2001,-555
20,George W. Bush,2001,-555
21,George W. Bush,2001,-555
22,George W. Bush,2001,-555
23,George W. Bush,2001,1
24,George W. Bush,2001,1
25,George W. Bush,2001,-555
26,George W. Bush,2001,-555
27,George W. Bush,2001,1
28,George W. Bush,2001,-555
29,George W. Bush,2001,-555
30,George W. Bush,2001,1
31,George W. Bush,2001,1
32,George W. Bush,2001,1
33,George W. Bush,2001,1
34,George W. Bush,2001,1
35,George W. Bush,2001,1
36,George W. Bush,2001,1
37,George W. Bush,2001,1
38,George W. Bush,2001,1
39,George W. Bush,2001,6
40,George W. Bush,2001,6
41,George W. Bush,2001,6
42,George W. Bush,2001,6
43,George W. Bush,2001,6
44,George W. Bush,2001,6
45,George W. Bush,2001,6
46,George W. Bush,2001,6
47,George W. Bush,2001,6
48,George W. Bush,2001,6
49,George W. Bush,2001,6
50,George W. Bush,2001,6
51,George W. Bush,2001,6
52,George W. Bush,2001,6
53,George W. Bush,2001,6
54,George W. Bush,2001,6
55,George W. Bush,2001,6
56,George W. Bush,2001,6
57,George W. Bush,2001,6
58,George W. Bush,2001,6
59,George W. Bush,2001,6
60,George W. Bush,2001,6
61,George W. Bush,2001,6
62,George W. Bush,2001,6
63,George W. Bush,2001,6
64,George W. Bush,2001,6
65,George W. Bush,2001,6
66,George W. Bush,2001,6
67,George W. Bush,2001,6
68,George W. Bush,2001,13
69,George W. Bush,2001,13
70,George W. Bush,2001,13
71,George W. Bush,2001,3
72,George W. Bush,2001,13
73,George W. Bush,2001,3
74,George W. Bush,2001,3
75,George W. Bush,2001,3
76,George W. Bush,2001,3
77,George W. Bush,2001,3
78,George W. Bush,2001,3
79,George W. Bush,2001,12
80,George W. Bush,2001,3
81,George W. Bush,2001,3
82,George W. Bush,2001,-555
83,George W. Bush,2001,3
84,George W. Bush,2001,13
85,George W. Bush,2001,13
86,George W. Bush,2001,16
87,George W. Bush,2001,16
88,George W. Bush,2001,16
89,George W. Bush,2001,16
90,George W. Bush,2001,3
91,George W. Bush,2001,7
92,George W. Bush,2001,7
93,George W. Bush,2001,21
94,George W. Bush,2001,21
95,George W. Bush,2001,21
96,George W. Bush,2001,21
97,George W. Bush,2001,13
98,George W. Bush,2001,13
99,George W. Bush,2001,13
100,George W. Bush,2001,13
101,George W. Bush,2001,13
102,George W. Bush,2001,13
103,George W. Bush,2001,2
104,George W. Bush,2001,13
105,George W. Bush,2001,13
106,George W. Bush,2001,13
107,George W. Bush,2001,13
108,George W. Bush,2001,-555
109,George W. Bush,2001,-555
110,George W. Bush,2001,-555
111,George W. Bush,2001,-555
112,George W. Bush,2001,-555
113,George W. Bush,2001,-555
114,George W. Bush,2001,-555
115,George W. Bush,2001,-555
116,George W. Bush,2001,13
117,George W. Bush,2001,-555
118,George W. Bush,2001,2
119,George W. Bush,2001,2
120,George W. Bush,2001,2
121,George W. Bush,2001,2
122,George W. Bush,2001,12
123,George W. Bush,2001,12
124,George W. Bush,2001,12
125,George W. Bush,2001,12
126,George W. Bush,2001,1
127,George W. Bush,2001,13
128,George W. Bush,2001,1
129,George W. Bush,2001,1
130,George W. Bush,2001,1
131,George W. Bush,2001,1
132,George W. Bush,2001,1
133,George W. Bush,2001,1
134,George W. Bush,2001,1
135,George W. Bush,2001,1
136,George W. Bush,2001,16
137,George W. Bush,2001,3
138,George W. Bush,2001,1
139,George W. Bush,2001,1
140,George W. Bush,2001,1
141,George W. Bush,2001,1
142,George W. Bush,2001,1
143,George W. Bush,2001,1
144,George W. Bush,2001,1
145,George W. Bush,2001,-555
146,George W. Bush,2001,-555
147,George W. Bush,2001,-555
148,George W. Bush,2001,-555
149,George W. Bush,2001,-555
150,George W. Bush,2001,1
151,George W. Bush,2001,1
152,George W. Bush,2001,1
153,George W. Bush,2001,1
154,George W. Bush,2001,-555
155,George W. Bush,2001,-555
156,George W. Bush,2001,1
157,George W. Bush,2001,1
158,George W. Bush,2001,1
159,George W. Bush,2001,1
160,George W. Bush,2001,1
161,George W. Bush,2001,1
162,George W. Bush,2001,1
163,George W. Bush,2001,1
164,George W. Bush,2001,20
165,George W. Bush,2001,1
166,George W. Bush,2001,1
167,George W. Bush,2001,15
168,George W. Bush,2001,15
169,George W. Bush,2001,20
170,George W. Bush,2001,1
171,George W. Bush,2001,1
172,George W. Bush,2001,1
173,George W. Bush,2001,1
174,George W. Bush,2001,1
175,George W. Bush,2001,1
176,George W. Bush,2001,1
177,George W. Bush,2001,1
178,George W. Bush,2001,6
179,George W. Bush,2001,1
180,George W. Bush,2001,1
181,George W. Bush,2001,-555
182,George W. Bush,2001,-555
183,George W. Bush,2001,-555
184,George W. Bush,2001,-555
185,George W. Bush,2001,-555
186,George W. Bush,2001,-555
187,George W. Bush,2001,1
188,George W. Bush,2001,1
189,George W. Bush,2001,1
190,George W. Bush,2001,1
191,George W. Bush,2001,6
192,George W. Bush,2001,-555
193,George W. Bush,2001,1
194,George W. Bush,2001,1
195,George W. Bush,2001,1
196,George W. Bush,2001,1
197,George W. Bush,2001,1
198,George W. Bush,2001,1
199,George W. Bush,2001,-555
200,George W. Bush,2001,-555
201,George W. Bush,2001,1
202,George W. Bush,2001,1
203,George W. Bush,2001,1
204,George W. Bush,2001,1
205,George W. Bush,2001,1
206,George W. Bush,2001,1
207,George W. Bush,2001,1
208,George W. Bush,2001,1
209,George W. Bush,2001,1
210,George W. Bush,2001,1
211,George W. Bush,2001,1
212,George W. Bush,2001,1
213,George W. Bush,2001,-555
214,George W. Bush,2001,-555
215,George W. Bush,2001,1
216,George W. Bush,2001,19
217,George W. Bush,2001,19
218,George W. Bush,2001,18
219,George W. Bush,2001,19
220,George W. Bush,2001,19
221,George W. Bush,2001,19
222,George W. Bush,2001,16
223,George W. Bush,2001,16
224,George W. Bush,2001,16
225,George W. Bush,2001,16
226,George W. Bush,2001,16
227,George W. Bush,2001,16
228,George W. Bush,2001,16
229,George W. Bush,2001,19
230,George W. Bush,2001,16
231,George W. Bush,2001,16
