president,year,majortopic
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,1
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,6
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,3
George W. Bush,2001,13
George W. Bush,2001,3
George W. Bush,2001,3
George W. Bush,2001,3
George W. Bush,2001,3
George W. Bush,2001,3
George W. Bush,2001,3
George W. Bush,2001,12
George W. Bush,2001,3
George W. Bush,2001,3
George W. Bush,2001,0
George W. Bush,2001,3
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,16
George W. Bush,2001,16
George W. Bush,2001,16
George W. Bush,2001,16
George W. Bush,2001,3
George W. Bush,2001,7
George W. Bush,2001,7
George W. Bush,2001,21
George W. Bush,2001,21
George W. Bush,2001,21
George W. Bush,2001,21
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,2
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,13
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,13
George W. Bush,2001,0
George W. Bush,2001,2
George W. Bush,2001,2
George W. Bush,2001,2
George W. Bush,2001,2
George W. Bush,2001,12
George W. Bush,2001,12
George W. Bush,2001,12
George W. Bush,2001,12
George W. Bush,2001,1
George W. Bush,2001,13
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,16
George W. Bush,2001,3
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,20
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,15
George W. Bush,2001,15
George W. Bush,2001,20
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,6
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,6
George W. Bush,2001,0
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,1
George W. Bush,2001,0
George W. Bush,2001,0
George W. Bush,2001,1
George W. Bush,2001,19
George W. Bush,2001,19
George W. Bush,2001,18
George W. Bush,2001,19
George W. Bush,2001,19
George W. Bush,2001,19
George W. Bush,2001,16
George W. Bush,2001,16
George W. Bush,2001,16
George W. Bush,2001,16
George W. Bush,2001,16
George W. Bush,2001,16
George W. Bush,2001,16
George W. Bush,2001,19
George W. Bush,2001,16
George W. Bush,2001,16
George W. Bush,2001,0
George W. Bush,2001,16
George W. Bush,2001,18
George W. Bush,2001,18
George W. Bush,2001,18
George W. Bush,2001,18
George W. Bush,2001,8
